name,sex,bucket,event_year,year,t,count,rank,log_count,proj_log_count,dev_log_count,proj_rank,dev_rank
Khaleesi,F,celebrity,2012,2008,-4,0,,0.0,4.547473508864641e-13,-4.547473508864641e-13,,
Khaleesi,F,celebrity,2012,2009,-3,0,,0.0,0.6734591659978832,-0.6734591659978832,,
Khaleesi,F,celebrity,2012,2010,-2,0,,0.0,1.3469183319950844,-1.3469183319950844,,
Khaleesi,F,celebrity,2012,2011,-1,28,4915.0,3.367295829986474,2.020377497992513,1.3469183319939613,,
Khaleesi,F,celebrity,2012,2012,0,147,1510.0,4.997212273764115,2.693836663989714,2.3033756097744007,,
Khaleesi,F,celebrity,2012,2013,1,243,1026.0,5.497168225293202,3.3672958299871425,2.1298723953060597,,
Khaleesi,F,celebrity,2012,2014,2,369,757.0,5.91350300563827,4.040754995984344,1.8727480096539262,,
Khaleesi,F,celebrity,2012,2015,3,342,822.0,5.8377304471659395,4.714214161981772,1.1235162851841674,,
Khaleesi,F,celebrity,2012,2016,4,377,756.0,5.934894195619588,5.387673327978973,0.5472208676406147,,
Khaleesi,F,celebrity,2012,2017,5,470,629.0,6.154858094016418,6.061132493976402,0.09372560004001596,,
Adele,F,celebrity,2011,2006,-5,111,1833.0,4.718498871295094,4.711334910197991,0.007163961097103488,1834.1999999997206,1.1999999997206032
Adele,F,celebrity,2011,2007,-4,148,1543.0,5.003946305945459,4.946638615485028,0.05730769046043083,1602.9999999997672,59.99999999976717
Adele,F,celebrity,2011,2008,-3,156,1495.0,5.056245805348308,5.181942320772123,-0.1256965154238152,1371.7999999998137,-123.20000000018626
Adele,F,celebrity,2011,2009,-2,236,1079.0,5.4680601411351315,5.4172460260592175,0.050814115075914046,1140.5999999999185,61.59999999991851
Adele,F,celebrity,2011,2010,-1,287,909.0,5.662960480135946,5.652549731346312,0.010410748789634106,909.3999999999651,0.3999999999650754
Adele,F,celebrity,2011,2011,0,462,625.0,6.137727054086234,5.88785343663335,0.2498736174528844,678.2000000000116,53.20000000001164
Adele,F,celebrity,2011,2012,1,564,536.0,6.336825731146441,6.123157141920444,0.21366858922599707,447.0000000000582,-88.99999999994179
Adele,F,celebrity,2011,2013,2,442,636.0,6.093569770045136,6.358460847207539,-0.2648910771624031,215.80000000010477,-420.1999999998952
Adele,F,celebrity,2011,2014,3,366,764.0,5.905361848054571,6.593764552494633,-0.6884027044400627,-15.39999999984866,-779.3999999998487
Adele,F,celebrity,2011,2015,4,443,646.0,6.095824562432225,6.829068257781671,-0.7332436953494463,-246.5999999997439,-892.5999999997439
Adele,F,celebrity,2011,2016,5,443,663.0,6.095824562432225,7.064371963068766,-0.9685474006365409,-477.7999999996973,-1140.7999999996973
